,predicate,subject,object,score
195,8936,11991,8925,1.0
196,11581,11991,11958,1.0
197,9010,11991,9016,1.0
198,2548,11991,8603,1.0
199,9635,11991,8867,1.0
200,9587,11991,6679,1.0
201,11816,11991,8575,1.0
202,11519,11991,11408,1.0
203,8876,11991,1639,1.0
204,1604,11991,1618,1.0
205,11253,11991,11259,1.0
206,11322,11991,11073,1.0
207,9315,11991,9342,1.0
208,2140,11991,2291,1.0
209,11517,11991,11503,1.0
210,11504,11991,11408,1.0
211,11617,11991,9697,1.0
212,2322,11991,2548,1.0
213,9703,11991,2548,1.0
214,9611,11991,2208,1.0
215,11949,11991,11457,1.0
216,11952,11991,9690,1.0
217,9572,11991,8852,1.0
218,4764,11991,11816,1.0
219,2619,11991,8788,1.0
220,9580,11991,11479,1.0
221,9394,11991,9392,1.0
222,11956,11991,1648,1.0
223,2809,11991,2323,1.0
224,9307,11991,9205,1.0
225,2195,11991,8788,1.0
226,2963,11991,2214,1.0
227,2985,11991,2984,1.0
228,1601,11991,1633,1.0
229,9676,11991,9513,1.0
230,11848,11991,6708,1.0
231,2650,11991,2139,1.0
232,11632,11991,11631,1.0
233,1949,11991,1606,1.0
234,2462,11991,2680,1.0
235,2681,11991,11495,1.0
236,9647,11991,9503,1.0
237,1666,11991,8772,1.0
238,9559,11991,11771,1.0
239,9057,11991,9253,1.0
240,11531,11991,11499,1.0
241,2576,11991,1989,1.0
242,11345,11991,2100,1.0
243,1801,11991,1952,1.0
244,1766,11991,6473,1.0
245,2208,11991,2099,1.0
246,9591,11991,6706,1.0
247,11642,11991,9435,1.0
248,9631,11991,8852,1.0
249,11517,11991,11495,1.0
250,9777,11991,2291,1.0
251,9286,11991,9023,1.0
252,1682,11991,9579,1.0
253,9025,11991,9017,1.0
254,8924,11991,8915,1.0
255,9001,11991,9072,1.0
256,6673,11991,2144,1.0
257,8940,11991,9435,1.0
258,4647,11991,8867,1.0
259,11515,11991,11503,1.0
260,9576,11991,2123,1.0
261,8913,11991,8914,1.0
262,2056,11991,8720,1.0
263,9803,11991,1635,1.0
264,11630,11991,11559,1.0
265,8964,11991,8979,1.0
266,11648,11991,11649,1.0
267,8909,11991,8904,1.0
268,9511,11991,9469,1.0
269,9247,11991,9251,1.0
270,9580,11991,2291,1.0
271,11651,11991,1623,1.0
272,11062,11991,1647,1.0
273,8770,11991,1647,1.0
274,8851,11991,8852,1.0
275,9040,11991,8965,1.0
276,9326,11991,9392,1.0
277,9585,11991,6679,1.0
278,11544,11991,1641,1.0
279,9503,11991,6719,1.0
280,11582,11991,11583,1.0
281,11823,11991,2780,1.0
282,11745,11991,11747,1.0
283,11610,11991,11608,1.0
284,9078,11991,9431,1.0
285,1866,11991,2576,1.0
286,11818,11991,2208,1.0
287,9347,11991,8993,1.0
288,1961,11991,2335,1.0
289,11345,11991,2980,1.0
290,9032,11991,9285,1.0
291,8941,11991,9394,1.0
292,3988,11991,1604,1.0
293,9610,11991,11219,1.0
294,8830,11991,8876,1.0
295,1607,11991,1618,1.0
296,9664,11991,9665,1.0
297,11511,11991,9726,1.0
298,9456,11991,9457,1.0
299,11791,11991,2449,1.0
300,11666,11991,6707,1.0
301,11768,11991,1647,1.0
302,9628,11991,1606,1.0
303,11501,11991,11967,1.0
304,11514,11991,11408,1.0
305,11500,11991,11408,1.0
306,8788,11991,8609,1.0
307,2098,11991,2179,1.0
308,9382,11991,9030,1.0
309,9522,11991,2291,1.0
310,2057,11991,2465,1.0
311,9643,11991,2585,1.0
312,8896,11991,8894,1.0
313,9596,11991,11592,1.0
314,2119,11991,2538,1.0
315,11613,11991,1609,1.0
316,8899,11991,8897,1.0
317,11036,11991,9477,1.0
318,11408,11991,5461,1.0
319,11319,11991,3129,1.0
320,2813,11991,2443,1.0
321,11621,11991,2113,1.0
322,9187,11991,9481,1.0
323,3285,11991,1640,1.0
324,11554,11991,8867,1.0
325,1700,11991,2693,1.0
326,11491,11991,9311,1.0
327,11430,11991,11346,1.0
328,11413,11991,11375,1.0
329,11772,11991,9493,1.0
330,9337,11991,9005,1.0
331,9292,11991,9289,1.0
332,1631,11991,1609,1.0
333,9279,11991,9014,1.0
334,4086,11991,9498,1.0
335,8958,11991,8969,1.0
336,8969,11991,9042,1.0
337,11320,11991,11792,1.0
338,9202,11991,9012,1.0
339,8824,11991,5143,1.0
340,9685,11991,2364,1.0
341,2635,11991,1901,1.0
342,11418,11991,1599,1.0
343,8906,11991,8902,1.0
344,11456,11991,11677,1.0
345,11876,11991,11877,1.0
346,8971,11991,8980,1.0
347,4306,11991,2809,1.0
348,11862,11991,5143,1.0
349,10126,11991,9784,1.0
350,1980,11991,8746,1.0
351,11495,11991,2001,1.0
352,2100,11991,1635,1.0
353,9354,11991,9058,1.0
354,8894,11991,8895,1.0
355,11646,11991,11648,1.0
356,11243,11991,11245,1.0
357,11564,11991,3711,1.0
358,11660,11991,11554,1.0
359,2465,11991,1744,1.0
360,8907,11991,8905,1.0
361,2634,11991,1683,1.0
362,11493,11991,8952,1.0
363,8301,11991,1796,1.0
364,11606,11991,11607,1.0
365,9349,11991,8980,1.0
366,6756,11991,9586,1.0
367,11765,11991,6707,1.0
368,8488,11991,8609,1.0
369,9264,11991,8885,1.0
370,11604,11991,11610,1.0
371,11303,11991,11305,1.0
372,2974,11991,8772,1.0
373,9457,11991,9416,1.0
374,6445,11991,1810,1.0
375,9660,11991,11041,1.0
376,9611,11991,11479,1.0
377,11740,11991,11734,1.0
378,11714,11991,11961,1.0
379,1904,11991,2340,1.0
380,11779,11991,8840,1.0
381,9290,11991,9294,1.0
382,9308,11991,8958,1.0
383,2732,11991,2465,1.0
384,9389,11991,9362,1.0
385,11106,11991,1647,1.0
386,9042,11991,9039,1.0
387,9314,11991,9318,1.0
388,2693,11991,3551,1.0
389,9257,11991,9252,1.0
390,8860,11991,2222,1.0
391,9067,11991,9386,1.0
392,9021,11991,9012,1.0
393,8552,11991,11503,1.0
394,11562,11991,9511,1.0
395,2048,11991,1790,1.0
396,2021,11991,3839,1.0
397,11445,11991,9468,1.0
398,2093,11991,9482,1.0
399,3845,11991,4540,1.0
400,11784,11991,8609,1.0
401,11556,11991,8769,1.0
402,9334,11991,9009,1.0
403,11186,11991,2974,1.0
404,9063,11991,8974,1.0
405,11967,11991,1609,1.0
406,2479,11991,9488,1.0
407,1571,11991,9577,1.0
408,11455,11991,9624,1.0
409,3711,11991,2027,1.0
410,8918,11991,8925,1.0
411,9597,11991,8862,1.0
412,11503,11991,2001,1.0
413,11864,11991,11752,1.0
414,11764,11991,1640,1.0
415,9220,11991,8954,1.0
416,11520,11991,11503,1.0
417,11519,11991,11495,1.0
418,8866,11991,8867,1.0
419,9726,11991,11635,1.0
420,2201,11991,2045,1.0
421,9611,11991,2291,1.0
422,11766,11991,9531,1.0
423,11627,11991,11626,1.0
424,11512,11991,9726,1.0
425,11607,11991,11605,1.0
426,11349,11991,1761,1.0
427,11738,11991,9266,1.0
428,2322,11991,8867,1.0
429,9703,11991,3102,1.0
430,8437,11991,1609,1.0
431,8413,11991,9784,1.0
432,9572,11991,8851,1.0
433,8492,11991,2465,1.0
434,11780,11991,11792,1.0
435,8904,11991,8902,1.0
436,9326,11991,9009,1.0
437,8822,11991,8610,1.0
438,2126,11991,1617,1.0
439,9537,11991,8769,1.0
440,11364,11991,2364,1.0
441,8976,11991,8973,1.0
442,8946,11991,9305,1.0
443,8608,11991,1607,1.0
444,4544,11991,11074,1.0
445,9107,11991,9503,1.0
446,9307,11991,9027,1.0
447,1856,11991,11363,1.0
448,9254,11991,8953,1.0
449,9166,11991,9432,1.0
450,9024,11991,9032,1.0
451,11444,11991,9482,1.0
452,2301,11991,2318,1.0
453,9347,11991,8980,1.0
454,9508,11991,9582,1.0
455,2061,11991,2438,1.0
456,8977,11991,8973,1.0
457,11550,11991,11551,1.0
458,1624,11991,11346,1.0
459,8919,11991,8925,1.0
460,11295,11991,11306,1.0
461,8391,11991,1810,1.0
462,5051,11991,8838,1.0
463,9046,11991,8957,1.0
464,11498,11991,9726,1.0
465,9028,11991,9004,1.0
466,1678,11991,1737,1.0
467,11768,11991,11771,1.0
468,11446,11991,2402,1.0
469,9529,11991,11186,1.0
470,2547,11991,2139,1.0
471,9763,11991,11503,1.0
472,2452,11991,2449,1.0
473,8909,11991,8905,1.0
474,9482,11991,8565,1.0
475,9306,11991,9392,1.0
476,8921,11991,8936,1.0
477,1804,11991,2107,1.0
478,1559,11991,1562,1.0
479,2662,11991,1913,1.0
480,9760,11991,2422,1.0
481,11143,11991,6678,1.0
482,11956,11991,11957,1.0
483,2416,11991,2318,1.0
484,2748,11991,1761,1.0
485,11506,11991,11499,1.0
486,9452,11991,9023,1.0
487,8608,11991,1604,1.0
488,9205,11991,9013,1.0
489,9217,11991,9008,1.0
490,11253,11991,11257,1.0
491,11305,11991,11297,1.0
492,8986,11991,8942,1.0
493,9653,11991,11469,1.0
494,9035,11991,9303,1.0
495,11777,11991,11816,1.0
496,11341,11991,1628,1.0
497,11650,11991,11554,1.0
498,6708,11991,1645,1.0
499,8808,11991,8603,1.0
500,4873,11991,1609,1.0
501,2426,11991,2465,1.0
502,8824,11991,8825,1.0
503,9685,11991,9522,1.0
504,9013,11991,9005,1.0
505,11310,11991,1609,1.0
506,1784,11991,2443,1.0
507,9665,11991,11479,1.0
508,9318,11991,9317,1.0
509,11954,11991,11552,1.0
510,9661,11991,1883,1.0
511,3024,11991,8610,1.0
512,9336,11991,9023,1.0
513,11616,11991,11578,1.0
514,9273,11991,9272,1.0
515,9133,11991,9296,1.0
516,9619,11991,4675,1.0
517,9155,11991,1641,1.0
518,11631,11991,8839,1.0
519,8908,11991,8905,1.0
520,9516,11991,2553,1.0
521,9265,11991,11735,1.0
522,11500,11991,11495,1.0
523,9303,11991,8960,1.0
524,2018,11991,2059,1.0
525,8961,11991,9055,1.0
526,2154,11991,1804,1.0
527,2103,11991,1651,1.0
528,9493,11991,6671,1.0
529,9321,11991,9313,1.0
530,9386,11991,8960,1.0
531,9592,11991,9531,1.0
532,11468,11991,9495,1.0
533,9319,11991,9313,1.0
534,9459,11991,9460,1.0
535,8488,11991,9697,1.0
536,2067,11991,2465,1.0
537,8840,11991,8854,1.0
538,8920,11991,8923,1.0
539,2669,11991,1926,1.0
540,2488,11991,1651,1.0
541,8852,11991,9473,1.0
542,8910,11991,8904,1.0
543,2359,11991,3839,1.0
544,9475,11991,8866,1.0
545,11432,11991,1635,1.0
546,9601,11991,8852,1.0
547,2637,11991,2166,1.0
548,6322,11991,9622,1.0
549,1790,11991,8323,1.0
550,4675,11991,8719,1.0
551,11557,11991,11785,1.0
552,9020,11991,9017,1.0
553,9296,11991,9072,1.0
554,9071,11991,8958,1.0
555,9001,11991,9336,1.0
556,2511,11991,2119,1.0
557,8737,11991,2809,1.0
558,11318,11991,11317,1.0
559,11646,11991,11649,1.0
560,9008,11991,8987,1.0
561,9263,11991,9264,1.0
562,1499,11991,2185,1.0
563,11518,11991,11408,1.0
564,3261,11991,2625,1.0
565,11157,11991,6679,1.0
566,9040,11991,8989,1.0
567,9762,11991,8598,1.0
568,1734,11991,8769,1.0
569,8725,11991,2226,1.0
570,11359,11991,11320,1.0
571,1659,11991,2465,1.0
572,9321,11991,9317,1.0
573,9099,11991,6708,1.0
574,2005,11991,8609,1.0
575,4206,11991,1615,1.0
576,1721,11991,1683,1.0
577,11503,11991,9726,1.0
578,1589,11991,8603,1.0
579,1633,11991,1644,1.0
580,5462,11991,9493,1.0
581,11764,11991,6707,1.0
582,2718,11991,9964,1.0
583,11492,11991,8948,1.0
584,8944,11991,9281,1.0
585,11323,11991,8587,1.0
586,9312,11991,9319,1.0
587,9517,11991,2099,1.0
588,11783,11991,8610,1.0
589,1585,11991,8603,1.0
590,2676,11991,2097,1.0
591,1645,11991,8588,1.0
592,9229,11991,8948,1.0
593,8815,11991,2443,1.0
594,9031,11991,9014,1.0
595,2329,11991,9528,1.0
596,2482,11991,1810,1.0
597,9345,11991,9072,1.0
598,5277,11991,6666,1.0
599,9004,11991,9005,1.0
600,9042,11991,9391,1.0
601,9298,11991,9289,1.0
602,9589,11991,9588,1.0
603,11775,11991,1647,1.0
604,9253,11991,9242,1.0
605,1969,11991,2465,1.0
606,11435,11991,9580,1.0
607,2021,11991,8769,1.0
608,8975,11991,9340,1.0
609,8954,11991,8977,1.0
610,9222,11991,8942,1.0
611,2309,11991,2507,1.0
612,9593,11991,8867,1.0
613,9056,11991,8965,1.0
614,8991,11991,8992,1.0
615,1757,11991,2340,1.0
616,9563,11991,8588,1.0
617,8945,11991,8977,1.0
618,11774,11991,11785,1.0
619,9492,11991,9752,1.0
620,1623,11991,2801,1.0
621,5102,11991,11784,1.0
622,11499,11991,11503,1.0
623,11238,11991,6723,1.0
624,8797,11991,11183,1.0
625,2064,11991,2248,1.0
626,11248,11991,11249,1.0
627,11772,11991,9531,1.0
628,9342,11991,8977,1.0
629,1838,11991,1917,1.0
630,11771,11991,1635,1.0
631,8792,11991,8769,1.0
632,8867,11991,9589,1.0
633,1641,11991,1599,1.0
634,8769,11991,8867,1.0
635,9414,11991,9416,1.0
636,9221,11991,9361,1.0
637,11592,11991,2806,1.0
638,1615,11991,11433,1.0
639,8943,11991,8945,1.0
640,9867,11991,2113,1.0
641,8358,11991,1513,1.0
642,1672,11991,2694,1.0
643,1920,11991,1777,1.0
644,8935,11991,8922,1.0
645,9460,11991,9461,1.0
646,2226,11991,2746,1.0
647,2785,11991,1895,1.0
648,11738,11991,9265,1.0
649,2795,11991,1796,1.0
650,11780,11991,2981,1.0
651,9055,11991,8979,1.0
652,11241,11991,5909,1.0
653,9565,11991,11477,1.0
654,8928,11991,8922,1.0
655,1617,11991,1611,1.0
656,8608,11991,2625,1.0
657,1625,11991,1632,1.0
658,1884,11991,9643,1.0
659,9637,11991,9639,1.0
660,9069,11991,9042,1.0
661,9009,11991,9008,1.0
662,2445,11991,1866,1.0
663,9017,11991,8968,1.0
664,9320,11991,9322,1.0
665,2127,11991,2335,1.0
666,11758,11991,8588,1.0
667,1763,11991,1796,1.0
668,11669,11991,11476,1.0
669,9469,11991,9490,1.0
670,2411,11991,1866,1.0
671,8936,11991,8920,1.0
672,11581,11991,11957,1.0
673,8879,11991,8817,1.0
674,9319,11991,9322,1.0
675,8559,11991,8603,1.0
676,9635,11991,9588,1.0
677,9284,11991,9014,1.0
678,11658,11991,8320,1.0
679,11429,11991,8320,1.0
680,9056,11991,8989,1.0
681,1604,11991,1632,1.0
682,11778,11991,2625,1.0
683,9013,11991,9012,1.0
684,9347,11991,9212,1.0
685,8952,11991,8968,1.0
686,1716,11991,3228,1.0
687,6416,11991,2416,1.0
688,9623,11991,1635,1.0
689,6647,11991,1866,1.0
690,11504,11991,11495,1.0
691,11617,11991,2113,1.0
692,11718,11991,11717,1.0
693,8917,11991,8925,1.0
694,1663,11991,2059,1.0
695,11628,11991,9077,1.0
696,11494,11991,9726,1.0
697,9354,11991,8967,1.0
698,1649,11991,1644,1.0
699,9070,11991,8988,1.0
700,8891,11991,8892,1.0
701,8858,11991,2801,1.0
702,2809,11991,8609,1.0
703,9573,11991,2318,1.0
704,2454,11991,3228,1.0
705,9386,11991,8979,1.0
706,9010,11991,9008,1.0
707,11968,11991,1518,1.0
708,9587,11991,1988,1.0
709,11737,11991,11738,1.0
710,2281,11991,4206,1.0
711,8876,11991,2126,1.0
712,11253,11991,11258,1.0
713,11319,11991,2981,1.0
714,9006,11991,9336,1.0
715,2044,11991,2465,1.0
716,11517,11991,9726,1.0
717,9057,11991,8958,1.0
718,3078,11991,2514,1.0
719,9284,11991,9285,1.0
720,9611,11991,3551,1.0
721,9232,11991,9233,1.0
722,11949,11991,9653,1.0
723,11952,11991,8879,1.0
724,2208,11991,11816,1.0
725,2011,11991,6719,1.0
726,9383,11991,9361,1.0
727,11773,11991,4253,1.0
728,11106,11991,1606,1.0
729,1777,11991,2093,1.0
730,1682,11991,1641,1.0
731,2393,11991,1817,1.0
732,9025,11991,11263,1.0
733,5567,11991,9491,1.0
734,9299,11991,9300,1.0
735,9001,11991,8969,1.0
736,8824,11991,8788,1.0
737,9307,11991,9028,1.0
738,11515,11991,9726,1.0
739,2195,11991,8788,1.0
740,2963,11991,9527,1.0
741,2056,11991,1606,1.0
742,11104,11991,11264,1.0
743,11630,11991,11558,1.0
744,11494,11991,11408,1.0
745,11107,11991,8728,1.0
746,9511,11991,9469,1.0
747,9247,11991,8982,1.0
748,9002,11991,9001,1.0
749,11860,11991,11262,1.0
750,11651,11991,1651,1.0
751,9647,11991,9594,1.0
752,8770,11991,1609,1.0
753,2001,11991,2460,1.0
754,11468,11991,9495,1.0
755,8981,11991,8964,1.0
756,11345,11991,1641,1.0
757,9326,11991,9017,1.0
758,11425,11991,4179,1.0
759,11967,11991,1605,1.0
760,4126,11991,3839,1.0
761,1766,11991,5277,1.0
762,11642,11991,11322,1.0
763,9530,11991,1635,1.0
764,2288,11991,11503,1.0
765,1541,11991,3551,1.0
766,9286,11991,9004,1.0
767,11745,11991,11746,1.0
768,11610,11991,11607,1.0
769,6422,11991,6445,1.0
770,8940,11991,2809,1.0
771,2401,11991,1796,1.0
772,9461,11991,9414,1.0
773,1961,11991,1852,1.0
774,1892,11991,2497,1.0
775,9328,11991,9329,1.0
776,8909,11991,8903,1.0
777,9580,11991,9513,1.0
778,11762,11991,1646,1.0
779,8830,11991,1639,1.0
780,9664,11991,2291,1.0
781,11511,11991,11408,1.0
782,11768,11991,2981,1.0
783,8610,11991,5051,1.0
784,8851,11991,9475,1.0
785,2265,11991,2326,1.0
786,11501,11991,1609,1.0
787,11495,11991,2364,1.0
788,11587,11991,11588,1.0
789,2318,11991,1796,1.0
790,11613,11991,8603,1.0
791,8611,11991,8598,1.0
792,11885,11991,11724,1.0
793,1538,11991,1609,1.0
794,2217,11991,2139,1.0
795,9493,11991,1641,1.0
796,2108,11991,2364,1.0
797,9032,11991,9011,1.0
798,3285,11991,1598,1.0
799,1700,11991,2693,1.0
800,11430,11991,1651,1.0
801,8968,11991,8958,1.0
802,11413,11991,11388,1.0
803,1607,11991,1639,1.0
804,11772,11991,9497,1.0
805,9548,11991,8156,1.0
806,9285,11991,9205,1.0
807,11764,11991,4179,1.0
808,9350,11991,8957,1.0
809,8367,11991,8503,1.0
810,9279,11991,9285,1.0
811,8909,11991,8902,1.0
812,11514,11991,11495,1.0
813,11558,11991,11559,1.0
814,1647,11991,1599,1.0
815,11418,11991,6671,1.0
816,2231,11991,11791,1.0
817,2119,11991,2208,1.0
818,8911,11991,8912,1.0
819,11036,11991,9476,1.0
820,1980,11991,8745,1.0
821,9293,11991,9298,1.0
822,9009,11991,9023,1.0
823,11964,11991,11963,1.0
824,11692,11991,11732,1.0
825,11554,11991,8343,1.0
826,11082,11991,9726,1.0
827,9500,11991,9475,1.0
828,8874,11991,2318,1.0
829,9040,11991,8976,1.0
830,2634,11991,2411,1.0
831,11493,11991,8950,1.0
832,9292,11991,9299,1.0
833,8707,11991,4220,1.0
834,2117,11991,8609,1.0
835,11734,11991,11738,1.0
836,8912,11991,8913,1.0
837,4086,11991,5909,1.0
838,8969,11991,8976,1.0
839,9519,11991,2291,1.0
840,9252,11991,8981,1.0
841,11765,11991,4179,1.0
842,9564,11991,11347,1.0
843,8488,11991,2228,1.0
844,9685,11991,9506,1.0
845,2635,11991,2045,1.0
846,11604,11991,11609,1.0
847,11303,11991,11297,1.0
848,8906,11991,8910,1.0
849,8477,11991,2139,1.0
850,8971,11991,8993,1.0
851,9181,11991,11653,1.0
852,2543,11991,2045,1.0
853,6678,11991,8858,1.0
854,11619,11991,8320,1.0
855,8922,11991,8932,1.0
856,1663,11991,1777,1.0
857,9026,11991,9014,1.0
858,11760,11991,2100,1.0
859,2100,11991,2980,1.0
860,11106,11991,11320,1.0
861,9354,11991,9233,1.0
862,8894,11991,8890,1.0
863,2693,11991,6753,1.0
864,9257,11991,8964,1.0
865,1900,11991,2514,1.0
866,8907,11991,8904,1.0
867,8834,11991,8830,1.0
868,8801,11991,1635,1.0
869,9198,11991,9290,1.0
870,9460,11991,9415,1.0
871,8552,11991,9726,1.0
872,2342,11991,2465,1.0
873,9349,11991,8973,1.0
874,9772,11991,8769,1.0
875,11784,11991,8822,1.0
876,9637,11991,9638,1.0
877,9069,11991,8949,1.0
878,9457,11991,9416,1.0
879,11186,11991,8772,1.0
880,1988,11991,2974,1.0
881,9582,11991,9748,1.0
882,9271,11991,9272,1.0
883,1643,11991,1633,1.0
884,11420,11991,8750,1.0
885,11521,11991,11503,1.0
886,5909,11991,6671,1.0
887,9308,11991,8986,1.0
888,8918,11991,8920,1.0
889,11503,11991,11496,1.0
890,11864,11991,11751,1.0
891,9351,11991,8957,1.0
892,9314,11991,9312,1.0
893,9299,11991,9296,1.0
894,11539,11991,8851,1.0
895,9294,11991,9291,1.0
896,8967,11991,8974,1.0
897,9233,11991,9237,1.0
898,9602,11991,2548,1.0
899,11562,11991,8769,1.0
900,2492,11991,2208,1.0
901,11258,11991,11259,1.0
902,8989,11991,9336,1.0
903,8931,11991,8935,1.0
904,3845,11991,9677,1.0
905,11254,11991,11255,1.0
906,9334,11991,9008,1.0
907,9326,11991,9018,1.0
908,8822,11991,8609,1.0
909,9063,11991,9035,1.0
910,8976,11991,9039,1.0
911,11967,11991,11792,1.0
912,1571,11991,11074,1.0
913,11641,11991,9514,1.0
914,1883,11991,2318,1.0
915,8604,11991,1647,1.0
916,10053,11991,9497,1.0
917,2425,11991,3551,1.0
918,9693,11991,9512,1.0
919,9220,11991,9392,1.0
920,9626,11991,8866,1.0
921,11520,11991,9726,1.0
922,11519,11991,11499,1.0
923,2994,11991,2233,1.0
924,11347,11991,1623,1.0
925,2301,11991,1989,1.0
926,11607,11991,11604,1.0
927,8977,11991,9039,1.0
928,11517,11991,11408,1.0
929,1912,11991,8608,1.0
930,2572,11991,1999,1.0
