,statement,predicted_score
94,http://swc2019.dice-research.org/task/dataset/s-00095,0.53
95,http://swc2019.dice-research.org/task/dataset/s-00096,0.51
96,http://swc2019.dice-research.org/task/dataset/s-00097,0.58
97,http://swc2019.dice-research.org/task/dataset/s-00098,0.9
98,http://swc2019.dice-research.org/task/dataset/s-00099,0.87
99,http://swc2019.dice-research.org/task/dataset/s-00100,0.79
100,http://swc2019.dice-research.org/task/dataset/s-00101,0.29
101,http://swc2019.dice-research.org/task/dataset/s-00102,0.51
102,http://swc2019.dice-research.org/task/dataset/s-00103,0.53
103,http://swc2019.dice-research.org/task/dataset/s-00104,0.54
104,http://swc2019.dice-research.org/task/dataset/s-00105,0.62
105,http://swc2019.dice-research.org/task/dataset/s-00106,0.53
106,http://swc2019.dice-research.org/task/dataset/s-00107,0.53
107,http://swc2019.dice-research.org/task/dataset/s-00108,0.49
108,http://swc2019.dice-research.org/task/dataset/s-00109,0.59
109,http://swc2019.dice-research.org/task/dataset/s-00110,0.52
110,http://swc2019.dice-research.org/task/dataset/s-00111,0.51
111,http://swc2019.dice-research.org/task/dataset/s-00112,0.58
112,http://swc2019.dice-research.org/task/dataset/s-00113,0.58
113,http://swc2019.dice-research.org/task/dataset/s-00114,0.51
114,http://swc2019.dice-research.org/task/dataset/s-00115,0.89
115,http://swc2019.dice-research.org/task/dataset/s-00116,0.53
116,http://swc2019.dice-research.org/task/dataset/s-00117,0.52
117,http://swc2019.dice-research.org/task/dataset/s-00118,0.5
118,http://swc2019.dice-research.org/task/dataset/s-00119,0.5
119,http://swc2019.dice-research.org/task/dataset/s-00120,0.51
120,http://swc2019.dice-research.org/task/dataset/s-00121,0.59
121,http://swc2019.dice-research.org/task/dataset/s-00122,0.56
122,http://swc2019.dice-research.org/task/dataset/s-00123,0.58
123,http://swc2019.dice-research.org/task/dataset/s-00124,0.56
124,http://swc2019.dice-research.org/task/dataset/s-00125,0.52
125,http://swc2019.dice-research.org/task/dataset/s-00126,0.37
126,http://swc2019.dice-research.org/task/dataset/s-00127,0.51
127,http://swc2019.dice-research.org/task/dataset/s-00128,0.89
128,http://swc2019.dice-research.org/task/dataset/s-00129,0.49
129,http://swc2019.dice-research.org/task/dataset/s-00130,0.5
130,http://swc2019.dice-research.org/task/dataset/s-00131,0.6
131,http://swc2019.dice-research.org/task/dataset/s-00132,0.5
132,http://swc2019.dice-research.org/task/dataset/s-00133,0.32
133,http://swc2019.dice-research.org/task/dataset/s-00134,0.84
134,http://swc2019.dice-research.org/task/dataset/s-00135,0.56
135,http://swc2019.dice-research.org/task/dataset/s-00136,0.54
136,http://swc2019.dice-research.org/task/dataset/s-00137,0.52
137,http://swc2019.dice-research.org/task/dataset/s-00138,0.49
138,http://swc2019.dice-research.org/task/dataset/s-00139,0.52
139,http://swc2019.dice-research.org/task/dataset/s-00140,0.9
140,http://swc2019.dice-research.org/task/dataset/s-00141,0.53
141,http://swc2019.dice-research.org/task/dataset/s-00142,0.6
142,http://swc2019.dice-research.org/task/dataset/s-00143,0.9
143,http://swc2019.dice-research.org/task/dataset/s-00144,0.39
144,http://swc2019.dice-research.org/task/dataset/s-00145,0.47
145,http://swc2019.dice-research.org/task/dataset/s-00146,0.63
146,http://swc2019.dice-research.org/task/dataset/s-00147,0.63
147,http://swc2019.dice-research.org/task/dataset/s-00148,0.86
148,http://swc2019.dice-research.org/task/dataset/s-00149,0.55
149,http://swc2019.dice-research.org/task/dataset/s-00150,0.61
150,http://swc2019.dice-research.org/task/dataset/s-00151,0.59
151,http://swc2019.dice-research.org/task/dataset/s-00152,0.89
152,http://swc2019.dice-research.org/task/dataset/s-00153,0.6
153,http://swc2019.dice-research.org/task/dataset/s-00154,0.62
154,http://swc2019.dice-research.org/task/dataset/s-00155,0.58
155,http://swc2019.dice-research.org/task/dataset/s-00156,0.54
156,http://swc2019.dice-research.org/task/dataset/s-00157,0.63
157,http://swc2019.dice-research.org/task/dataset/s-00158,0.58
158,http://swc2019.dice-research.org/task/dataset/s-00159,0.51
159,http://swc2019.dice-research.org/task/dataset/s-00160,0.51
160,http://swc2019.dice-research.org/task/dataset/s-00161,0.48
161,http://swc2019.dice-research.org/task/dataset/s-00162,0.51
162,http://swc2019.dice-research.org/task/dataset/s-00163,0.51
163,http://swc2019.dice-research.org/task/dataset/s-00164,0.51
164,http://swc2019.dice-research.org/task/dataset/s-00165,0.53
165,http://swc2019.dice-research.org/task/dataset/s-00166,0.5
166,http://swc2019.dice-research.org/task/dataset/s-00167,0.52
167,http://swc2019.dice-research.org/task/dataset/s-00168,0.5
168,http://swc2019.dice-research.org/task/dataset/s-00169,0.52
169,http://swc2019.dice-research.org/task/dataset/s-00170,0.58
170,http://swc2019.dice-research.org/task/dataset/s-00171,0.73
171,http://swc2019.dice-research.org/task/dataset/s-00172,0.58
172,http://swc2019.dice-research.org/task/dataset/s-00173,0.63
173,http://swc2019.dice-research.org/task/dataset/s-00174,0.61
174,http://swc2019.dice-research.org/task/dataset/s-00175,0.59
175,http://swc2019.dice-research.org/task/dataset/s-00176,0.51
176,http://swc2019.dice-research.org/task/dataset/s-00177,0.52
177,http://swc2019.dice-research.org/task/dataset/s-00178,0.5
178,http://swc2019.dice-research.org/task/dataset/s-00179,0.63
179,http://swc2019.dice-research.org/task/dataset/s-00180,0.9
180,http://swc2019.dice-research.org/task/dataset/s-00181,0.52
181,http://swc2019.dice-research.org/task/dataset/s-00182,0.9
182,http://swc2019.dice-research.org/task/dataset/s-00183,0.6
183,http://swc2019.dice-research.org/task/dataset/s-00184,0.51
184,http://swc2019.dice-research.org/task/dataset/s-00185,0.52
185,http://swc2019.dice-research.org/task/dataset/s-00186,0.59
186,http://swc2019.dice-research.org/task/dataset/s-00187,0.81
187,http://swc2019.dice-research.org/task/dataset/s-00188,0.52
188,http://swc2019.dice-research.org/task/dataset/s-00189,0.53
189,http://swc2019.dice-research.org/task/dataset/s-00190,0.89
190,http://swc2019.dice-research.org/task/dataset/s-00191,0.52
191,http://swc2019.dice-research.org/task/dataset/s-00192,0.52
192,http://swc2019.dice-research.org/task/dataset/s-00193,0.54
193,http://swc2019.dice-research.org/task/dataset/s-00194,0.62
194,http://swc2019.dice-research.org/task/dataset/s-00195,0.52
195,http://swc2019.dice-research.org/task/dataset/s-00196,0.52
196,http://swc2019.dice-research.org/task/dataset/s-00197,0.62
197,http://swc2019.dice-research.org/task/dataset/s-00198,0.52
198,http://swc2019.dice-research.org/task/dataset/s-00199,0.47
199,http://swc2019.dice-research.org/task/dataset/s-00200,0.51
200,http://swc2019.dice-research.org/task/dataset/s-00201,0.48
201,http://swc2019.dice-research.org/task/dataset/s-00202,0.49
202,http://swc2019.dice-research.org/task/dataset/s-00203,0.59
203,http://swc2019.dice-research.org/task/dataset/s-00204,0.61
204,http://swc2019.dice-research.org/task/dataset/s-00205,0.9
205,http://swc2019.dice-research.org/task/dataset/s-00206,0.51
206,http://swc2019.dice-research.org/task/dataset/s-00207,0.5
207,http://swc2019.dice-research.org/task/dataset/s-00208,0.52
208,http://swc2019.dice-research.org/task/dataset/s-00209,0.87
209,http://swc2019.dice-research.org/task/dataset/s-00210,0.59
210,http://swc2019.dice-research.org/task/dataset/s-00211,0.59
211,http://swc2019.dice-research.org/task/dataset/s-00212,0.51
212,http://swc2019.dice-research.org/task/dataset/s-00213,0.82
213,http://swc2019.dice-research.org/task/dataset/s-00214,0.62
214,http://swc2019.dice-research.org/task/dataset/s-00215,0.63
215,http://swc2019.dice-research.org/task/dataset/s-00216,0.59
216,http://swc2019.dice-research.org/task/dataset/s-00217,0.51
217,http://swc2019.dice-research.org/task/dataset/s-00218,0.51
218,http://swc2019.dice-research.org/task/dataset/s-00219,0.25
219,http://swc2019.dice-research.org/task/dataset/s-00220,0.47
220,http://swc2019.dice-research.org/task/dataset/s-00221,0.39
221,http://swc2019.dice-research.org/task/dataset/s-00222,0.51
222,http://swc2019.dice-research.org/task/dataset/s-00223,0.58
223,http://swc2019.dice-research.org/task/dataset/s-00224,0.74
224,http://swc2019.dice-research.org/task/dataset/s-00225,0.52
225,http://swc2019.dice-research.org/task/dataset/s-00226,0.52
226,http://swc2019.dice-research.org/task/dataset/s-00227,0.71
227,http://swc2019.dice-research.org/task/dataset/s-00228,0.63
228,http://swc2019.dice-research.org/task/dataset/s-00229,0.9
229,http://swc2019.dice-research.org/task/dataset/s-00230,0.52
230,http://swc2019.dice-research.org/task/dataset/s-00231,0.52
231,http://swc2019.dice-research.org/task/dataset/s-00232,0.76
232,http://swc2019.dice-research.org/task/dataset/s-00233,0.62
233,http://swc2019.dice-research.org/task/dataset/s-00234,0.88
234,http://swc2019.dice-research.org/task/dataset/s-00235,0.8
235,http://swc2019.dice-research.org/task/dataset/s-00236,0.27
236,http://swc2019.dice-research.org/task/dataset/s-00237,0.51
237,http://swc2019.dice-research.org/task/dataset/s-00238,0.57
238,http://swc2019.dice-research.org/task/dataset/s-00239,0.4
239,http://swc2019.dice-research.org/task/dataset/s-00240,0.49
240,http://swc2019.dice-research.org/task/dataset/s-00241,0.59
241,http://swc2019.dice-research.org/task/dataset/s-00242,0.79
242,http://swc2019.dice-research.org/task/dataset/s-00243,0.59
243,http://swc2019.dice-research.org/task/dataset/s-00244,0.9
244,http://swc2019.dice-research.org/task/dataset/s-00245,0.59
245,http://swc2019.dice-research.org/task/dataset/s-00246,0.86
246,http://swc2019.dice-research.org/task/dataset/s-00247,0.48
247,http://swc2019.dice-research.org/task/dataset/s-00248,0.5
248,http://swc2019.dice-research.org/task/dataset/s-00249,0.51
249,http://swc2019.dice-research.org/task/dataset/s-00250,0.59
250,http://swc2019.dice-research.org/task/dataset/s-00251,0.62
251,http://swc2019.dice-research.org/task/dataset/s-00252,0.54
252,http://swc2019.dice-research.org/task/dataset/s-00253,0.48
253,http://swc2019.dice-research.org/task/dataset/s-00254,0.52
254,http://swc2019.dice-research.org/task/dataset/s-00255,0.52
255,http://swc2019.dice-research.org/task/dataset/s-00256,0.51
256,http://swc2019.dice-research.org/task/dataset/s-00257,0.61
257,http://swc2019.dice-research.org/task/dataset/s-00258,0.48
258,http://swc2019.dice-research.org/task/dataset/s-00259,0.32
259,http://swc2019.dice-research.org/task/dataset/s-00260,0.59
260,http://swc2019.dice-research.org/task/dataset/s-00261,0.62
261,http://swc2019.dice-research.org/task/dataset/s-00262,0.52
262,http://swc2019.dice-research.org/task/dataset/s-00263,0.54
263,http://swc2019.dice-research.org/task/dataset/s-00264,0.63
264,http://swc2019.dice-research.org/task/dataset/s-00265,0.6
265,http://swc2019.dice-research.org/task/dataset/s-00266,0.52
266,http://swc2019.dice-research.org/task/dataset/s-00267,0.62
267,http://swc2019.dice-research.org/task/dataset/s-00268,0.52
268,http://swc2019.dice-research.org/task/dataset/s-00269,0.51
269,http://swc2019.dice-research.org/task/dataset/s-00270,0.52
270,http://swc2019.dice-research.org/task/dataset/s-00271,0.64
271,http://swc2019.dice-research.org/task/dataset/s-00272,0.58
272,http://swc2019.dice-research.org/task/dataset/s-00273,0.59
273,http://swc2019.dice-research.org/task/dataset/s-00274,0.6
274,http://swc2019.dice-research.org/task/dataset/s-00275,0.52
275,http://swc2019.dice-research.org/task/dataset/s-00276,0.52
276,http://swc2019.dice-research.org/task/dataset/s-00277,0.51
277,http://swc2019.dice-research.org/task/dataset/s-00278,0.48
278,http://swc2019.dice-research.org/task/dataset/s-00279,0.58
279,http://swc2019.dice-research.org/task/dataset/s-00280,0.48
280,http://swc2019.dice-research.org/task/dataset/s-00281,0.59
281,http://swc2019.dice-research.org/task/dataset/s-00282,0.58
282,http://swc2019.dice-research.org/task/dataset/s-00283,0.64
283,http://swc2019.dice-research.org/task/dataset/s-00284,0.6
284,http://swc2019.dice-research.org/task/dataset/s-00285,0.49
285,http://swc2019.dice-research.org/task/dataset/s-00286,0.87
286,http://swc2019.dice-research.org/task/dataset/s-00287,0.56
287,http://swc2019.dice-research.org/task/dataset/s-00288,0.54
288,http://swc2019.dice-research.org/task/dataset/s-00289,0.89
289,http://swc2019.dice-research.org/task/dataset/s-00290,0.56
290,http://swc2019.dice-research.org/task/dataset/s-00291,0.49
291,http://swc2019.dice-research.org/task/dataset/s-00292,0.48
292,http://swc2019.dice-research.org/task/dataset/s-00293,0.52
293,http://swc2019.dice-research.org/task/dataset/s-00294,0.39
294,http://swc2019.dice-research.org/task/dataset/s-00295,0.52
295,http://swc2019.dice-research.org/task/dataset/s-00296,0.9
296,http://swc2019.dice-research.org/task/dataset/s-00297,0.51
297,http://swc2019.dice-research.org/task/dataset/s-00298,0.53
298,http://swc2019.dice-research.org/task/dataset/s-00299,0.51
299,http://swc2019.dice-research.org/task/dataset/s-00300,0.56
300,http://swc2019.dice-research.org/task/dataset/s-00301,0.53
301,http://swc2019.dice-research.org/task/dataset/s-00302,0.58
302,http://swc2019.dice-research.org/task/dataset/s-00303,0.63
303,http://swc2019.dice-research.org/task/dataset/s-00304,0.64
304,http://swc2019.dice-research.org/task/dataset/s-00305,0.59
305,http://swc2019.dice-research.org/task/dataset/s-00306,0.59
306,http://swc2019.dice-research.org/task/dataset/s-00307,0.5
307,http://swc2019.dice-research.org/task/dataset/s-00308,0.88
308,http://swc2019.dice-research.org/task/dataset/s-00309,0.54
309,http://swc2019.dice-research.org/task/dataset/s-00310,0.64
310,http://swc2019.dice-research.org/task/dataset/s-00311,0.87
311,http://swc2019.dice-research.org/task/dataset/s-00312,0.6
312,http://swc2019.dice-research.org/task/dataset/s-00313,0.52
313,http://swc2019.dice-research.org/task/dataset/s-00314,0.37
314,http://swc2019.dice-research.org/task/dataset/s-00315,0.85
315,http://swc2019.dice-research.org/task/dataset/s-00316,0.58
316,http://swc2019.dice-research.org/task/dataset/s-00317,0.52
317,http://swc2019.dice-research.org/task/dataset/s-00318,0.51
318,http://swc2019.dice-research.org/task/dataset/s-00319,0.52
319,http://swc2019.dice-research.org/task/dataset/s-00320,0.56
320,http://swc2019.dice-research.org/task/dataset/s-00321,0.74
321,http://swc2019.dice-research.org/task/dataset/s-00322,0.56
322,http://swc2019.dice-research.org/task/dataset/s-00323,0.49
323,http://swc2019.dice-research.org/task/dataset/s-00324,0.56
324,http://swc2019.dice-research.org/task/dataset/s-00325,0.54
325,http://swc2019.dice-research.org/task/dataset/s-00326,0.87
326,http://swc2019.dice-research.org/task/dataset/s-00327,0.51
327,http://swc2019.dice-research.org/task/dataset/s-00328,0.56
328,http://swc2019.dice-research.org/task/dataset/s-00329,0.57
329,http://swc2019.dice-research.org/task/dataset/s-00330,0.51
330,http://swc2019.dice-research.org/task/dataset/s-00331,0.54
331,http://swc2019.dice-research.org/task/dataset/s-00332,0.52
332,http://swc2019.dice-research.org/task/dataset/s-00333,0.9
333,http://swc2019.dice-research.org/task/dataset/s-00334,0.54
334,http://swc2019.dice-research.org/task/dataset/s-00335,0.28
335,http://swc2019.dice-research.org/task/dataset/s-00336,0.52
336,http://swc2019.dice-research.org/task/dataset/s-00337,0.51
337,http://swc2019.dice-research.org/task/dataset/s-00338,0.6
338,http://swc2019.dice-research.org/task/dataset/s-00339,0.53
339,http://swc2019.dice-research.org/task/dataset/s-00340,0.48
340,http://swc2019.dice-research.org/task/dataset/s-00341,0.63
341,http://swc2019.dice-research.org/task/dataset/s-00342,0.78
342,http://swc2019.dice-research.org/task/dataset/s-00343,0.6
343,http://swc2019.dice-research.org/task/dataset/s-00344,0.52
344,http://swc2019.dice-research.org/task/dataset/s-00345,0.59
345,http://swc2019.dice-research.org/task/dataset/s-00346,0.65
346,http://swc2019.dice-research.org/task/dataset/s-00347,0.52
347,http://swc2019.dice-research.org/task/dataset/s-00348,0.46
348,http://swc2019.dice-research.org/task/dataset/s-00349,0.53
349,http://swc2019.dice-research.org/task/dataset/s-00350,0.48
350,http://swc2019.dice-research.org/task/dataset/s-00351,0.55
351,http://swc2019.dice-research.org/task/dataset/s-00352,0.58
352,http://swc2019.dice-research.org/task/dataset/s-00353,0.87
353,http://swc2019.dice-research.org/task/dataset/s-00354,0.54
354,http://swc2019.dice-research.org/task/dataset/s-00355,0.52
355,http://swc2019.dice-research.org/task/dataset/s-00356,0.62
356,http://swc2019.dice-research.org/task/dataset/s-00357,0.51
357,http://swc2019.dice-research.org/task/dataset/s-00358,0.51
358,http://swc2019.dice-research.org/task/dataset/s-00359,0.6
359,http://swc2019.dice-research.org/task/dataset/s-00360,0.79
360,http://swc2019.dice-research.org/task/dataset/s-00361,0.52
361,http://swc2019.dice-research.org/task/dataset/s-00362,0.76
362,http://swc2019.dice-research.org/task/dataset/s-00363,0.53
363,http://swc2019.dice-research.org/task/dataset/s-00364,0.58
364,http://swc2019.dice-research.org/task/dataset/s-00365,0.6
365,http://swc2019.dice-research.org/task/dataset/s-00366,0.54
366,http://swc2019.dice-research.org/task/dataset/s-00367,0.36
367,http://swc2019.dice-research.org/task/dataset/s-00368,0.54
368,http://swc2019.dice-research.org/task/dataset/s-00369,0.48
369,http://swc2019.dice-research.org/task/dataset/s-00370,0.54
370,http://swc2019.dice-research.org/task/dataset/s-00371,0.59
371,http://swc2019.dice-research.org/task/dataset/s-00372,0.52
372,http://swc2019.dice-research.org/task/dataset/s-00373,0.42
373,http://swc2019.dice-research.org/task/dataset/s-00374,0.51
374,http://swc2019.dice-research.org/task/dataset/s-00375,0.63
375,http://swc2019.dice-research.org/task/dataset/s-00376,0.42
376,http://swc2019.dice-research.org/task/dataset/s-00377,0.39
377,http://swc2019.dice-research.org/task/dataset/s-00378,0.65
378,http://swc2019.dice-research.org/task/dataset/s-00379,0.62
379,http://swc2019.dice-research.org/task/dataset/s-00380,0.89
380,http://swc2019.dice-research.org/task/dataset/s-00381,0.54
381,http://swc2019.dice-research.org/task/dataset/s-00382,0.52
382,http://swc2019.dice-research.org/task/dataset/s-00383,0.54
383,http://swc2019.dice-research.org/task/dataset/s-00384,0.75
384,http://swc2019.dice-research.org/task/dataset/s-00385,0.51
385,http://swc2019.dice-research.org/task/dataset/s-00386,0.59
386,http://swc2019.dice-research.org/task/dataset/s-00387,0.52
387,http://swc2019.dice-research.org/task/dataset/s-00388,0.52
388,http://swc2019.dice-research.org/task/dataset/s-00389,0.58
389,http://swc2019.dice-research.org/task/dataset/s-00390,0.52
390,http://swc2019.dice-research.org/task/dataset/s-00391,0.6
391,http://swc2019.dice-research.org/task/dataset/s-00392,0.48
392,http://swc2019.dice-research.org/task/dataset/s-00393,0.52
393,http://swc2019.dice-research.org/task/dataset/s-00394,0.35
394,http://swc2019.dice-research.org/task/dataset/s-00395,0.5
395,http://swc2019.dice-research.org/task/dataset/s-00396,0.89
396,http://swc2019.dice-research.org/task/dataset/s-00397,0.54
397,http://swc2019.dice-research.org/task/dataset/s-00398,0.53
398,http://swc2019.dice-research.org/task/dataset/s-00399,0.43
399,http://swc2019.dice-research.org/task/dataset/s-00400,0.45
400,http://swc2019.dice-research.org/task/dataset/s-00401,0.5
401,http://swc2019.dice-research.org/task/dataset/s-00402,0.53
402,http://swc2019.dice-research.org/task/dataset/s-00403,0.54
403,http://swc2019.dice-research.org/task/dataset/s-00404,0.57
404,http://swc2019.dice-research.org/task/dataset/s-00405,0.53
405,http://swc2019.dice-research.org/task/dataset/s-00406,0.58
406,http://swc2019.dice-research.org/task/dataset/s-00407,0.38
407,http://swc2019.dice-research.org/task/dataset/s-00408,0.49
408,http://swc2019.dice-research.org/task/dataset/s-00409,0.52
409,http://swc2019.dice-research.org/task/dataset/s-00410,0.51
410,http://swc2019.dice-research.org/task/dataset/s-00411,0.52
411,http://swc2019.dice-research.org/task/dataset/s-00412,0.51
412,http://swc2019.dice-research.org/task/dataset/s-00413,0.58
413,http://swc2019.dice-research.org/task/dataset/s-00414,0.64
414,http://swc2019.dice-research.org/task/dataset/s-00415,0.58
415,http://swc2019.dice-research.org/task/dataset/s-00416,0.54
416,http://swc2019.dice-research.org/task/dataset/s-00417,0.59
417,http://swc2019.dice-research.org/task/dataset/s-00418,0.59
418,http://swc2019.dice-research.org/task/dataset/s-00419,0.52
419,http://swc2019.dice-research.org/task/dataset/s-00420,0.39
420,http://swc2019.dice-research.org/task/dataset/s-00421,0.87
421,http://swc2019.dice-research.org/task/dataset/s-00422,0.63
422,http://swc2019.dice-research.org/task/dataset/s-00423,0.51
423,http://swc2019.dice-research.org/task/dataset/s-00424,0.62
424,http://swc2019.dice-research.org/task/dataset/s-00425,0.53
425,http://swc2019.dice-research.org/task/dataset/s-00426,0.6
426,http://swc2019.dice-research.org/task/dataset/s-00427,0.6
427,http://swc2019.dice-research.org/task/dataset/s-00428,0.51
428,http://swc2019.dice-research.org/task/dataset/s-00429,0.49
429,http://swc2019.dice-research.org/task/dataset/s-00430,0.59
430,http://swc2019.dice-research.org/task/dataset/s-00431,0.58
431,http://swc2019.dice-research.org/task/dataset/s-00432,0.41
432,http://swc2019.dice-research.org/task/dataset/s-00433,0.51
433,http://swc2019.dice-research.org/task/dataset/s-00434,0.59
434,http://swc2019.dice-research.org/task/dataset/s-00435,0.63
435,http://swc2019.dice-research.org/task/dataset/s-00436,0.52
436,http://swc2019.dice-research.org/task/dataset/s-00437,0.54
437,http://swc2019.dice-research.org/task/dataset/s-00438,0.5
438,http://swc2019.dice-research.org/task/dataset/s-00439,0.87
439,http://swc2019.dice-research.org/task/dataset/s-00440,0.51
440,http://swc2019.dice-research.org/task/dataset/s-00441,0.58
441,http://swc2019.dice-research.org/task/dataset/s-00442,0.52
442,http://swc2019.dice-research.org/task/dataset/s-00443,0.49
443,http://swc2019.dice-research.org/task/dataset/s-00444,0.59
444,http://swc2019.dice-research.org/task/dataset/s-00445,0.28
445,http://swc2019.dice-research.org/task/dataset/s-00446,0.49
446,http://swc2019.dice-research.org/task/dataset/s-00447,0.54
447,http://swc2019.dice-research.org/task/dataset/s-00448,0.32
448,http://swc2019.dice-research.org/task/dataset/s-00449,0.54
449,http://swc2019.dice-research.org/task/dataset/s-00450,0.49
